Feature,Importance
Feature 218,3.1646484e-06
Feature 219,2.809184e-06
Feature 220,4.0915024e-06
Feature 221,4.2704296e-06
Feature 222,2.1856965e-06
Feature 223,3.1010397e-06
Feature 224,2.9187127e-06
Feature 225,4.1298345e-06
Feature 226,4.1946673e-06
Feature 227,2.169032e-06
Feature 228,3.9485276e-06
Feature 229,3.995366e-06
Feature 230,4.1462067e-06
Feature 231,2.8413667e-06
Feature 232,4.6274367e-06
Feature 233,3.2936834e-06
Feature 234,2.6390067e-06
Feature 235,2.8740799e-06
Feature 236,4.4314193e-06
Feature 237,3.2381267e-06
Feature 238,2.9977127e-06
Feature 239,2.4152566e-06
Feature 240,4.0012046e-06
Feature 241,4.8468914e-06
Feature 242,4.42703e-06
Feature 243,3.0122249e-06
Feature 244,3.2102193e-06
Feature 245,3.7734314e-06
Feature 246,6.300192e-06
Feature 247,3.5661328e-06
Feature 248,3.1815237e-06
Feature 249,2.6087387e-06
Feature 250,2.6873179e-06
Feature 251,2.8056515e-06
Feature 252,2.5645238e-06
Feature 253,3.046657e-06
Feature 254,4.959328e-06
Feature 255,3.3704925e-06
Feature 256,3.3296433e-06
Feature 257,2.4776411e-06
Feature 258,2.546779e-06
Feature 259,2.2811853e-06
Feature 260,2.9823118e-06
Feature 261,4.0546315e-06
Feature 262,3.3793274e-06
Feature 263,1.9057219e-06
Feature 264,3.6515128e-06
Feature 265,2.4654044e-06
Feature 266,2.7612925e-06
Feature 267,4.5542256e-06
Feature 268,2.4846954e-06
Feature 269,4.097108e-06
Feature 270,3.6557244e-06
Feature 271,3.1376132e-06
Feature 272,3.247869e-06
Feature 273,3.3883443e-06
Feature 274,3.46884e-06
Feature 275,3.2224948e-06
Feature 276,3.97516e-06
Feature 277,3.2043156e-06
Feature 278,3.4884847e-06
Feature 279,2.3564535e-06
Feature 280,3.762764e-06
Feature 281,2.8827585e-06
Feature 282,3.285872e-06
Feature 283,3.0894253e-06
Feature 284,3.2346063e-06
Feature 285,2.0174261e-06
Feature 286,4.34797e-06
Feature 287,7.751557e-06
Feature 288,1.970258e-06
Feature 289,3.8302765e-06
Feature 290,3.2234389e-06
Feature 291,5.4232664e-06
Feature 292,5.1712973e-06
Feature 293,2.6626687e-06
Feature 294,5.538239e-06
Feature 295,3.3167933e-06
Feature 296,3.3729493e-06
Feature 297,2.8619675e-06
Feature 298,6.0260254e-06
Feature 299,2.6383311e-06
Feature 300,2.5395625e-06
Feature 301,3.6237486e-06
Feature 302,2.1081073e-06
Feature 303,4.6295413e-06
Feature 304,3.1755553e-06
Feature 305,5.379373e-06
Feature 306,3.586451e-06
Feature 307,3.8349676e-06
Feature 308,4.6959644e-06
Feature 309,2.747937e-06
Feature 310,4.099688e-06
Feature 311,2.1871476e-06
Feature 312,7.270343e-06
Feature 313,3.1297632e-06
Feature 314,2.7232613e-06
Feature 315,5.0973417e-06
Feature 316,2.9340354e-06
Feature 317,3.585032e-06
Feature 318,2.7121698e-06
Feature 319,3.0271353e-06
Feature 320,2.3494363e-06
Feature 321,3.1334891e-06
Feature 322,2.6336857e-06
Feature 323,3.1209386e-06
Feature 324,4.48731e-06
Feature 325,3.1987424e-06
Feature 326,5.9422464e-06
Feature 327,2.6362775e-06
Feature 328,3.5917208e-06
Feature 329,2.9476896e-06
Feature 330,3.2813823e-06
Feature 331,5.259108e-06
Feature 332,3.8501303e-06
Feature 333,3.0936287e-06
Feature 334,3.2298603e-06
Feature 335,3.3112685e-06
Feature 336,2.5269815e-06
Feature 337,2.5556456e-06
Feature 338,1.9893835e-06
Feature 339,2.7566223e-06
Feature 340,3.0434724e-06
Feature 341,3.8062062e-06
Feature 342,4.2234087e-06
Feature 343,5.045079e-06
Feature 344,3.2477071e-06
Feature 345,6.162735e-06
Feature 346,2.776783e-06
Feature 347,2.4216133e-06
Feature 348,4.9456917e-06
Feature 349,2.2012312e-06
Feature 350,2.317355e-06
Feature 351,2.6072992e-06
Feature 352,2.4875856e-06
Feature 353,5.708725e-06
Feature 354,5.069133e-06
Feature 355,4.520513e-06
Feature 356,4.8428014e-06
Feature 357,4.5291913e-06
Feature 358,4.0968425e-06
Feature 359,3.2419134e-06
Feature 360,2.6380317e-06
Feature 361,3.4033299e-06
Feature 362,6.5785784e-06
Feature 363,9.245556e-06
Feature 364,3.2509945e-06
Feature 365,3.0926512e-06
Feature 366,3.0172616e-06
Feature 367,4.346414e-06
Feature 368,3.8217427e-06
Feature 369,2.2881088e-06
